,batsman,batsman_runs,ball,boundaries,dismissed,dot_balls,man_of_match,match_30+,total_matches,strike_rate,%age_not_out,%age_dot_balls,%age_boundaries,%30+runs,average_suns_per_match,Strike_rate_in_powerplay,Strike_rate_in_death_overs,Player,batsman_rank,bowling_rank,allrounder_rank
13,AT Rayudu,3659,2970,440.0,123.0,1069.0,10.0,54.0,149,123.2,17.45,35.99,14.81,36.24,24.56,106.03448275862068,163.36405529953916,AT Rayudu,31.0,-,-
14,MK Pandey,3268,2772,381.0,109.0,1049.0,5.0,43.0,134,117.89,18.66,37.84,13.74,32.09,24.39,111.75799086757992,150.64102564102564,MK Pandey,45.0,-,-
15,YK Pathan,3204,2330,421.0,111.0,872.0,16.0,38.0,153,137.51,27.45,37.42,18.07,24.84,20.94,136.11111111111111,159.77653631284915,YK Pathan,19.0,68.0,3.0
16,KA Pollard,3023,2107,394.0,106.0,813.0,11.0,34.0,144,143.47,26.39,38.59,18.7,23.61,20.99,70.0,176.60332541567695,KA Pollard,18.0,142.0,18.0
17,BB McCullum,2880,2267,423.0,106.0,1025.0,5.0,44.0,109,127.04,2.75,45.21,18.66,40.37,26.42,122.15239591516102,202.56410256410254,BB McCullum,16.0,-,-
18,PA Patel,2848,2442,414.0,127.0,1081.0,5.0,37.0,136,116.63,6.62,44.27,16.95,27.21,20.94,116.80981595092024,136.95652173913044,PA Patel,57.0,-,-
19,Yuvraj Singh,2750,2205,366.0,109.0,976.0,5.0,36.0,126,124.72,13.49,44.26,16.6,28.57,21.83,96.92307692307692,165.1098901098901,Yuvraj Singh,39.0,73.0,4.0
20,V Sehwag,2728,1833,440.0,98.0,737.0,11.0,35.0,104,148.83,5.77,40.21,24.0,33.65,26.23,137.32758620689657,220.00000000000003,V Sehwag,8.0,278.0,68.0
21,KL Rahul,2647,1990,338.0,62.0,714.0,7.0,33.0,72,133.02,13.89,35.88,16.98,45.83,36.76,130.26467203682392,180.82901554404145,KL Rahul,9.0,-,-
22,M Vijay,2619,2208,338.0,97.0,987.0,6.0,36.0,105,118.61,7.62,44.7,15.31,34.29,24.94,111.15819209039547,164.44444444444443,M Vijay,46.0,-,-
23,SV Samson,2584,1970,306.0,91.0,710.0,7.0,35.0,102,131.17,10.78,36.04,15.53,34.31,25.33,112.77213352685051,194.9685534591195,SV Samson,21.0,-,-
24,SE Marsh,2477,1908,344.0,64.0,734.0,9.0,37.0,69,129.82,7.25,38.47,18.03,53.62,35.9,102.54010695187165,154.54545454545453,SE Marsh,12.0,-,-
25,JH Kallis,2427,2291,299.0,89.0,982.0,10.0,34.0,95,105.94,6.32,42.86,13.05,35.79,25.55,101.171875,190.56603773584905,JH Kallis,63.0,100.0,19.0
26,DR Smith,2385,1803,362.0,81.0,832.0,11.0,35.0,88,132.28,7.95,46.15,20.08,39.77,27.1,120.93718843469591,149.35064935064935,DR Smith,14.0,198.0,34.0
27,SR Tendulkar,2334,2044,325.0,71.0,874.0,8.0,37.0,78,114.19,8.97,42.76,15.9,47.44,29.92,110.43478260869566,162.96296296296296,SR Tendulkar,42.0,-,-
28,SPD Smith,2333,1858,270.0,72.0,616.0,5.0,33.0,86,125.57,16.28,33.15,14.53,38.37,27.13,119.06005221932115,167.39811912225707,SPD Smith,28.0,-,-
29,F du Plessis,2302,1828,278.0,67.0,655.0,4.0,34.0,77,125.93,12.99,35.83,15.21,44.16,29.9,128.36601307189542,195.04132231404958,F du Plessis,25.0,-,-
30,SS Iyer,2200,1802,272.0,73.0,691.0,5.0,31.0,78,122.09,6.41,38.35,15.09,39.74,28.21,104.199066874028,179.83870967741936,SS Iyer,35.0,-,-
31,R Dravid,2174,1918,297.0,77.0,819.0,2.0,32.0,82,113.35,6.1,42.7,15.48,39.02,26.51,105.84795321637428,177.77777777777777,R Dravid,56.0,-,-
32,RA Jadeja,2159,1774,233.0,88.0,634.0,9.0,19.0,136,121.7,35.29,35.74,13.13,13.97,15.88,115.55555555555554,145.8937198067633,RA Jadeja,76.0,40.0,5.0
33,RR Pant,2079,1416,287.0,59.0,494.0,6.0,32.0,68,146.82,13.24,34.89,20.27,47.06,30.57,110.9090909090909,211.70212765957447,RR Pant,7.0,-,-
34,AC Gilchrist,2069,1555,331.0,76.0,737.0,7.0,26.0,80,133.05,5.0,47.4,21.29,32.5,25.86,128.24074074074073,208.0,AC Gilchrist,24.0,-,-
35,JP Duminy,2029,1680,205.0,49.0,562.0,4.0,27.0,75,120.77,34.67,33.45,12.2,36.0,27.05,94.0,177.1144278606965,JP Duminy,44.0,92.0,10.0
36,SA Yadav,2024,1536,279.0,65.0,562.0,5.0,27.0,86,131.77,24.42,36.59,18.16,31.4,23.53,138.76146788990826,165.74585635359117,SA Yadav,34.0,-,-
37,AJ Finch,2005,1622,279.0,78.0,711.0,5.0,26.0,85,123.61,8.24,43.83,17.2,30.59,23.59,111.70351105331599,156.15384615384616,AJ Finch,49.0,-,-
